term_code,section_code,course_code,course_name,teacher_external_id,student_count,day_of_week,start_time,end_time,room,weeks,status,note,building,lesson_type,start_period,end_period,location
HK2_2025_2026,420300114603,4203001146,Hệ cơ sở dữ liệu,gvaiml,1,,,,,1-15,published,,,,,,
HK2_2025_2026,420300154501,4203001545,Nhận dạng mẫu,gvaiml,1,,,,,1-15,published,,,,,,
HK2_2025_2026,420300207003,4203002070,"Lập trình hướng sự kiện với công
nghệ Java",gvaiml,1,,,,,1-15,published,,,,,,
HK2_2025_2026,420300211701,4203002117,Những vấn đề xã hội và nghề nghiệp,gvaiml,1,,,,,1-15,published,,,,,,
HK2_2025_2026,420300344302,4203003443,Khai thác dữ liệu và ứng dụng,gvungdung,1,,,,,1-15,published,,,,,,
HK2_2025_2026,420300344304,4203003443,Khai thác dữ liệu và ứng dụng,gvungdung,1,,,,,1-15,published,,,,,,
HK2_2025_2026,420300350101,4203003501,Phát triển ứng dụng,gvungdung,2,,,,,1-15,published,,,,,,
HK2_2025_2026,420300371101,4203003711,Máy học,gvaiml,1,,,,,1-15,published,,,,,,
HK2_2025_2026,420300411601,4203004116,Học sâu,gvaiml,1,,,,,1-15,published,,,,,,
HK2_2025_2026,420301411502,4203014115,Khai phá đồ thị,gvaiml,1,,,,,1-15,published,,,,,,
